lam_GR,lam_NR,delta_lam,sum_lam_eff,grow_con,fec_con,rcz_con,sur_con,sum_con,p_grow,p_fec,p_rcz,p_sur
1.4683337590886123,1.3606684479179119,-0.10766531117070044,-0.10554459956618696,0.05814372958097265,-0.08325975308467018,0.0,-0.0804285760624894,-0.10554459956618693,-0.55089251198031,0.7888584866197541,-0.0,0.7620340253605559
1.7075729014014844,1.0888565655680307,-0.6187163358334538,-0.6271370383932554,0.02495215809560803,-0.26889080002006316,0.0,-0.38319839646880005,-0.6271370383932552,-0.03978740939864793,0.42875924010001043,-0.0,0.6110281692986375
1.4884673646328102,1.360183356345904,-0.12828400828690611,-0.12848330623477058,0.053601841533428174,-0.16446565935633295,0.0,-0.017619488411865815,-0.12848330623477058,-0.417189151682355,1.2800546948551725,-0.0,0.1371344568271825
1.2672094601415622,1.3139061849588416,0.04669672481727938,0.04650861862289269,0.03955110856514822,0.018479916620786893,0.0,-0.011522406563042445,0.04650861862289267,0.8504038549465799,0.3973439153424056,0.0,-0.24774777028898548
1.9052177966838049,1.6654694792543792,-0.2397483174294257,-0.238831502925331,0.039153358772015916,-0.28440189740799426,0.0,0.006417035710647275,-0.23883150292533106,-0.16393716194239638,1.190805626244836,-0.0,-0.02686846430243968
1.460424390619104,1.5088396260977213,0.04841523547861737,0.04932646900683996,0.03886400266175499,-0.07084514230680297,0.0,0.08130760865188792,0.04932646900683994,0.7878934666165918,-1.4362500242411251,0.0,1.6483565576245334
1.2550886621188502,1.4239412931448445,0.16885263102599435,0.16889423902830197,0.03380300703470172,0.06672499288193819,0.0,0.06836623911166206,0.16889423902830197,0.20014304353529355,0.39506967949781246,0.0,0.404787276966894
1.5068681483591264,1.3800864144717373,-0.12678173388738911,-0.12710534216388966,0.05536254651116343,0.08029196856716009,0.0,-0.2627598572422132,-0.12710534216388966,-0.435564277383235,-0.6316962544629446,-0.0,2.0672605318461796
1.803652902625256,1.7047875366270486,-0.09886536599820728,-0.0965937550116735,0.04595955507462681,-0.0813133654869406,0.0,-0.06123994459935973,-0.09659375501167353,-0.47580255130440385,0.8418076870198672,-0.0,0.6339948642845366
1.4188704861325268,1.3701104314466863,-0.04876005468584044,-0.04861437025972805,0.03339899905908737,0.06795743814269695,0.0,-0.14997080746151242,-0.048614370259728104,-0.6870190620725768,-1.3978878627785607,-0.0,3.0849069248511376
1.7864889888703845,1.909501742562962,0.12301275369257736,0.12297319146520051,0.053047044667531566,0.16917844866106888,0.0,-0.0992523018633999,0.12297319146520055,0.43137080558361396,1.3757343909297797,0.0,-0.8071051965133939
1.7386645135995795,1.2136266064815433,-0.5250379071180362,-0.5328979466953274,0.03997351957880882,-0.3103285054413849,0.0,-0.2625429608327513,-0.5328979466953274,-0.07501158491357969,0.5823413420258651,-0.0,0.4926702428877145
1.686425609909974,1.4436349215166449,-0.24279068839332907,-0.2435780627198284,0.0226332034911583,-0.0714973898148514,0.0,-0.1947138763961352,-0.2435780627198283,-0.09291971222052034,0.293529675934282,-0.0,0.7993900362862384
1.9659289273321106,1.6465727461941722,-0.3193561811379384,-0.3215547289947554,0.009042786604034719,-0.279805536868332,0.0,-0.05079197873045817,-0.32155472899475546,-0.028122076239725294,0.8701645836248784,-0.0,0.15795749261484685
1.969058337802943,1.9506195007281526,-0.018438837074790326,-0.018297459107884627,0.06419212561112898,-0.19403001987541463,0.0,0.11154043515640102,-0.018297459107884606,-3.508253535785621,10.604205684045205,-0.0,-6.095952148259582
1.5683673012609418,1.3728113847005186,-0.19555591656042326,-0.19508423290833235,0.02014933740988851,0.02083399822154616,0.0,-0.23606756853976704,-0.19508423290833238,-0.10328531993334607,-0.10679488501428915,-0.0,1.2100802049476351
1.7549249951585322,1.4704513885530854,-0.28447360660544674,-0.2827883833826901,0.043482330332687204,-0.21998337230946358,0.0,-0.10628734140591381,-0.2827883833826902,-0.1537627883173818,0.7779080939536536,-0.0,0.3758546943637282
1.512656765991924,1.4455527770706433,-0.06710398892128056,-0.06675354749567695,0.04795921531177154,0.03220078909054896,0.0,-0.14691355189799746,-0.06675354749567697,-0.7184519341818865,-0.48238318858835655,-0.0,2.200835122770243
1.5437661537141603,1.2631157310592176,-0.28065042265494267,-0.2715182203365732,0.055814729695418966,-0.14006954504550767,0.0,-0.1872634049864845,-0.2715182203365732,-0.20556531943319012,0.5158753061650075,-0.0,0.6896900132681827
1.4760954318583535,1.428472620630629,-0.04762281122772438,-0.047461875031786276,0.04968124546490349,0.09702504187400993,0.0,-0.19416816237069967,-0.047461875031786255,-1.0467611199859017,-2.044273257409871,-0.0,4.091034377395773
2.2254758560291723,1.842624620973992,-0.38285123505518026,-0.3838786747825206,0.05928201119469284,-0.24529579920297814,0.0,-0.1978648867742353,-0.3838786747825206,-0.15442902950594475,0.6389930343016474,-0.0,0.5154359952042974
1.6854275203870728,1.2867810505982948,-0.39864646978877794,-0.40294527331332586,0.007376047641315467,-0.19587933718125594,0.0,-0.2144419837733854,-0.40294527331332586,-0.01830533357709828,0.4861189599535079,-0.0,0.5321863736235904
1.4167629225669987,1.548350161387166,0.13158723882016732,0.13154246884218396,0.041013899719538574,0.10142800331293059,0.0,-0.010899434190285223,0.13154246884218393,0.31179207810630627,0.7710665932127007,0.0,-0.08285867131900689
1.5801336593646607,1.4180798164693829,-0.1620538428952778,-0.16059346489476914,0.06920149363520259,-0.13472528657329472,0.0,-0.09506967195667702,-0.16059346489476917,-0.43091101920335123,0.8389213512615542,-0.0,0.591989667941797
