Location,Pool_1,BiomassK1,BiomassK2
CAI,1,16.286000000000005,17.460999999999995
CAI,2,30.623099999999997,20.61799999999999
CAI,3,19.169999999999998,18.779
NAR,1,30.776,29.125999999999998
NAR,2,18.130000000000006,17.788
NAR,3,23.291999999999998,19.833000000000002
QUA,1,43.650000000000006,55.135
QUA,2,31.86,12.838999999999997
QUA,3,63.423,69.239
QUA2,1,33.10999999999999,17.51800000000001
QUA2,2,9.76,14.285
QUA2,3,16.032,9.723
