Location,Pool_1,BiomassG1,BiomassG2
CAI,1,10.958,13.067
CAI,2,4.348000000000001,1.5090000000000001
CAI,3,12.696000000000002,10.738999999999992
NAR,1,3.453999999999999,12.537999999999995
NAR,2,17.672999999999995,19.13799999999999
NAR,3,8.850999999999994,9.479
QUA,1,4.906000000000001,6.622999999999998
QUA,2,7.0749999999999975,9.335999999999999
QUA,3,6.300000000000001,0.511
QUA2,1,2.683,2.364
QUA2,2,3.539999999999999,3.9259999999999997
QUA2,3,3.4050000000000002,1.173
