"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-230.376026797151,6.0767518220208,8.00716387293366,0.404868676110488,460.752053594301,12.1535036440416
"M4",-0.873605286604104,0.410682082448567,-231.249632083755,6.01817180328904,9.02597904597434,0.436435290579305,462.49926416751,12.0363436065781
"M1",-0.96135004255042,1.25474194608082,-231.337376839701,6.23033547160701,9.75669510452016,0.54530429371898,462.674753679402,12.460670943214
"M3",-1.16294180539891,0.513867524653424,-231.53896860255,6.07175856367831,8.97893867268016,0.436252374287997,463.077937205099,12.1435171273566
"M2",-1.88483177878742,0.876480692041646,-232.260858575938,5.97921901836004,9.35341086952676,0.447738298764226,464.521717151876,11.9584380367201
"M7",-2.69474265931705,2.79790426379649,-233.070769456468,5.38138484606642,7.22500354379315,0.280184911438273,466.141538912935,10.7627696921328
"M5",-3.48978948119334,2.81447346867399,-233.865816278344,5.44783404500196,8.08485797999296,0.379467572343317,467.731632556688,10.8956680900039
