"","b_Intercept","b_z","b_NK","b_FishBiom","b_z.NK","sd_stream__Intercept","shape","r_stream.1.Intercept.","r_stream.2.Intercept.","r_stream.3.Intercept.","r_stream.4.Intercept.","lprior","lp__"
"543",0.342840639724392,0.295291805906148,0.823009321936456,0.926041161875806,0.0766865964771102,0.532200900296129,1.03772482505066,-0.283508199069889,0.105532317275113,-0.144370917633477,0.955565385850044,-8.32682539851563,-425.846624625764
"544",-0.253210488292336,0.20983888879491,0.70411130456637,0.723706258692717,0.0551298836832695,0.701531800596844,0.531636351089848,0.393563308072631,0.627866536668087,0.313087005323698,0.757963753491939,-7.52649136663576,-424.062242095012
"545",0.0344069179677278,0.423242570506883,0.880862315952705,0.763661468505607,-0.149288504681571,0.912711266982253,0.676665655292627,0.0938141625578951,-0.0846872171524074,0.338272948559197,0.773932055522797,-7.89832534693578,-426.097879466061
"546",0.525622554319367,0.410769406547053,0.693667653141966,0.938552767751882,-0.0800792850205699,0.309544328293382,0.488718826970795,-0.413852894769074,-0.0257592605027863,-0.133204768507477,0.301276761665171,-7.59299481813122,-427.03110773367
"547",0.618252068235266,0.415820109635504,0.485485000517106,0.871120773084425,-0.0221399543836708,0.478357004955555,0.530642452223275,-0.453538497715761,-0.142517820901041,0.16944104813909,0.635580346701143,-7.67756309050549,-427.491511914631
"548",0.456097628978789,0.217576525936488,1.13236371566054,1.08858296954487,0.00688481721874715,0.192308364898796,0.716473578791889,-0.285774736988561,-0.0294451150066689,0.0639518194258217,-0.104507979011071,-8.05664112049155,-430.25840235826
"549",0.951013012914766,0.432185552907595,0.80778749725121,1.26298096102039,0.0344699169778246,0.453229098014148,0.527037466520095,-0.532856764956369,-0.462361950195983,-0.656457883298595,0.345486553447426,-7.75945105988142,-432.725651468432
"550",0.397344165068931,0.368048028983818,0.944449196348348,1.04363951888687,0.0104260354481365,0.529915826942416,0.497340114788825,-0.519960701362185,-0.294366820867915,-0.0336343259980518,0.89788482976467,-7.60291013145887,-426.760164636573
"551",0.396050096902075,0.31962064508734,0.806911848290589,1.00727157389902,-0.0808770817604736,0.149216527882476,0.9223401132414,-0.0273750813690215,-0.18525439630469,0.0220197894162385,0.101149233543105,-8.21473943535266,-427.620597756142
"552",0.277366987358428,0.330442553751271,0.684602913872714,0.643275809298475,-0.0175508765880526,0.827037922026964,0.77364692518366,-0.440403852426105,0.0160144188718796,0.10268363656116,0.66877494754179,-8.09249904248815,-421.402493936588
"553",0.405944082511345,0.166390776300029,0.74724446560247,0.906873660227332,0.106709293881773,0.19421988434327,0.894802790555999,0.0521277700524867,0.125561857199701,-0.029509688372578,0.197726495680776,-8.20891639839355,-426.711789116982
"554",0.476030050413647,0.234835688786679,0.257379164726867,0.490882832046566,0.075867632465671,0.179525628442991,0.606095526803756,-0.0873524203215602,0.107586146817024,0.0456099464822696,0.156858596644098,-7.81370976541351,-424.051446103131
"555",0.649024445324089,0.345773107737476,0.978186642333998,0.979820186442537,0.0345765734351973,0.847093028868732,0.698308803386539,-0.27047945683308,-0.427198638558689,-0.482466090211382,0.243403548080059,-8.10780523207452,-424.397523909725
"556",0.692852925435589,0.361334199897725,0.973492950510262,0.97351429671457,0.0280467551147996,0.816499964129406,0.715055681518089,-0.912743407861249,-0.378708622857592,-0.393621955950057,0.0820708033736121,-8.13957354538406,-423.665766214286
"557",0.859978736042306,0.314406681058974,1.03020101725989,1.03971471029397,0.0267970420786464,0.752607367173339,0.792146572799509,-0.689318771263085,-0.454907404901405,-0.409948150965141,-0.00210306808960725,-8.31901762041041,-421.792363642236
"558",0.515654794273555,0.239662708912013,0.679531307100644,0.846743224647516,0.0681359884115194,0.419913499570304,0.762498764123503,-0.391307892486567,0.0165862522167975,-0.16013510721862,0.242727315927953,-8.08600001064596,-419.668561425009
"559",0.257602299792811,0.277707916408577,0.547610027497527,0.41248011989971,0.0687957570521293,0.467742656810994,0.591333105301138,-0.260915391977495,-0.201361114364787,-0.173298628095308,0.42606484611515,-7.78620102701553,-422.035420200639
"560",0.242365123884012,0.247308828845659,0.543647623038321,0.521017715514813,0.0609153840392432,0.551471384166626,0.508217710173409,-0.014956215328587,-0.249146204594258,-0.0824769327705493,0.312543475753051,-7.62956481813932,-423.585109060182
"561",0.360374581427371,0.25756862382992,0.53911088559404,0.524071992146048,0.0632407555625253,0.766120830109644,0.526261211638835,0.0130892598161173,-0.366707762021346,-0.149819442143857,0.178847564602609,-7.73248203303985,-424.010884537356
"562",0.148452087987837,0.271005781193145,0.70855413930477,0.781799021331708,0.0310308548660432,0.33516377143867,0.960346853360873,-0.0359564525162145,0.234790869309148,0.323638538320956,0.582455276550981,-8.18780852144154,-422.337612893319
"563",0.390352493673909,0.337399544566095,0.552148088404152,0.595737832872458,-0.0480822489600094,0.308099854420489,0.644054606703806,-0.302610205917067,0.169107850681465,-0.263410532876973,0.297662533377321,-7.87966670393027,-424.031025139733
"564",0.571231051733317,0.300954692356647,0.461142565757882,0.723342767810923,0.00346844531727468,0.297839810514353,0.726354369663767,-0.222278035116582,-0.364824412017414,0.082600144878637,0.285203184572612,-8.02340158723092,-423.322496907691
"565",0.307552955432756,0.27271407359993,0.502621735304726,0.42263378921016,0.0358906221401357,0.361702204779122,0.586620928315309,-0.277807553275256,0.409155801897008,-0.334534242419566,0.295589027041908,-7.78780751106522,-424.681813910385
"566",0.291440607961622,0.272466765294099,0.55684512044407,0.353011278274036,0.0682668066458978,0.233187037904118,0.597027899938518,-0.157126957154418,0.362844366358692,-0.16298388221678,0.258627648573926,-7.80810628983133,-425.701538045326
"567",0.420729463735179,0.203427671156839,0.726013732148406,0.993546503653007,0.127176311182745,0.338050937080501,0.79843198791747,-0.313407529146147,0.198397731697861,0.00150503222825891,0.580379018689027,-8.06560402416587,-422.559733254262
"568",0.274758558419091,0.292001332151332,0.509966222008764,0.31402219694895,0.00825939826572455,0.263072109869656,0.637345935501606,-0.201299260144254,-0.0944821545602212,-0.110794088727744,-0.0694389640496679,-7.87563973776386,-423.782896313092
"569",0.300638059238539,0.296299558754118,0.626410507712776,0.554055037420608,-0.00809417894727317,0.266329941992555,0.660595189166762,-0.415222531292156,-0.0431696768639677,-0.00511082320210758,0.128562114509421,-7.89766015924847,-422.827761169851
