"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M1",0,0,-81.5882457627743,17.2910051838061,6.88532003907693,2.08806205673595,163.176491525549,34.5820103676122
"M4",-0.946056632648046,1.08923720336669,-82.5343023954223,17.5140419704542,6.72209108187654,2.11091808495788,165.068604790845,35.0280839409084
"M3",-6.21788429272924,2.78616179431139,-87.8061300555035,18.5674879792717,6.48717750412909,1.72568727232419,175.612260111007,37.1349759585435
"M5",-6.37212754785525,2.4957060830055,-87.9603733106294,18.7975963790222,7.41837076851647,2.90426654247564,175.920746621259,37.5951927580443
"M7",-6.54990761698405,2.89474582198204,-88.1381533797583,18.6122949325914,5.80611969206262,1.66764186752739,176.276306759517,37.2245898651827
"M2",-6.78052780407475,2.38993675725966,-88.368773566849,18.8108123250947,7.80576999718548,2.72641973770719,176.737547133698,37.6216246501895
"M6",-8.16994129812363,3.35409785964554,-89.7581870608979,19.0724437180303,6.54758175545798,1.97784475542517,179.516374121796,38.1448874360606
