"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-261.877986906442,7.99014655991131,7.77824551571383,0.416810751701583,523.755973812884,15.9802931198226
"M3",-0.489985432059502,1.03384543677137,-262.367972338501,8.13895253763779,8.50287459100989,0.46390111433494,524.735944677003,16.2779050752756
"M1",-0.716143869399851,1.18391771819052,-262.594130775842,8.24476942572104,9.58439904461543,0.557417296351322,525.188261551683,16.4895388514421
"M4",-1.2627322390063,0.380485582593569,-263.140719145448,8.06561210251018,9.02743132450393,0.514464704416705,526.281438290896,16.1312242050204
"M2",-1.99048869970699,0.994829669917425,-263.868475606149,7.99964378250625,8.90994941238674,0.501279827730313,527.736951212298,15.9992875650125
"M7",-2.34077587044938,2.717100413808,-264.218762776891,7.63117273981289,6.76703865396399,0.30708109811444,528.437525553783,15.2623454796258
"M5",-3.45505782690453,2.73850091702579,-265.333044733346,7.75331991604563,7.92944079100343,0.450134330161227,530.666089466692,15.5066398320913
