"","b_Intercept","b_z","b_NG","b_FishBiom","b_Density","b_canopy","b_z.NG","sd_stream__Intercept","shape","r_stream.1.Intercept.","r_stream.2.Intercept.","r_stream.3.Intercept.","r_stream.4.Intercept.","lprior","lp__"
"1",-14.5896169471139,0.398694282465133,34.9362181332327,-19.6406026435929,-6.61139509985353,-4.86225466059252,-0.344351455930796,1.70715359463942,0.0969689433299763,1.86837907544241,-2.53532144787765,-2.20809964381476,-0.751611386663188,-5.78280586836974,-93.1892354311497
"2",-16.0650074286141,0.197441321717365,50.1180233806877,-28.1829828758576,-10.8471469019701,-2.44691356374119,-0.152054519883531,1.11780768895855,0.0243910530684577,-0.70116233700216,-1.4056257908986,-0.507731351028865,-0.24980332060544,-4.33054127171262,-98.121297038393
"3",-21.2196344141841,0.414901471964983,50.9459214108493,-27.7786517361002,-9.22266878491344,-2.19923699327992,-0.30096123981226,1.4548748520452,0.0833571349518824,-0.0858782446906942,-3.53145567053681,1.04394215220368,-0.701814854048986,-5.78688095344988,-95.6148152292367
"4",-19.2198044811299,0.391062539286677,51.3272285990165,-27.3048057314753,-12.1053093817527,-1.87619914988641,-0.321101243722708,1.90374980345637,0.0771019136172178,0.0521938823692256,-5.07431311778522,0.749164787270725,-2.04444930427923,-5.79670448914159,-93.4866736110552
"5",-19.7909354877952,0.329408303569201,55.0419392321897,-30.0393683358603,-11.3707056126868,-3.32824432420879,-0.307952646348556,1.28442513067766,0.061611671632769,-0.325698676993663,-3.4818189610926,1.17019330088324,-1.67831108527793,-5.58377180700131,-94.1060969908336
"6",-17.479759623328,0.303411287713444,54.0196826315071,-29.6056769178604,-13.4732482506238,-2.60606989188346,-0.23428250422441,1.92629709212453,0.0867343578318688,-0.687185754832961,-5.83195228501806,0.285275078434007,-3.75544129883201,-5.79890259916026,-95.6513874392545
"7",-16.6516318521314,0.257095754291723,52.6685271463603,-29.8137930152191,-10.5025567709326,-1.06257651381996,-0.263571959772215,2.96692956543382,0.080298057972384,0.323329593517025,-5.2116523809837,2.05095415687598,-2.06528989741619,-6.07348325803628,-94.9134306834973
"8",-20.1046095921049,0.27050927944042,53.3552092344972,-28.6568334534344,-8.56494566384608,-2.40124869860692,-0.201355533798044,2.18970116240334,0.0661395467973739,-1.63538031758188,-2.82859433244454,-1.57127401805486,1.34817261962684,-5.68379527867256,-92.4383448892009
"9",-9.76676243737987,0.165355235224989,24.2748740012071,-15.1634200105761,-7.85159502731036,-1.95497113963267,-0.108761166582948,1.17013114773,0.177362368868432,2.44714530857389,-1.10583480396158,1.26481396447802,-0.865244503857507,-6.7035709432299,-89.077072476234
"10",-17.47266246038,0.3506585478337,43.2339151687117,-21.2927782672345,-7.56385041131788,-3.96537015778935,-0.297191035351172,2.42313550053635,0.069295692537279,-0.801536070327809,-2.78869851394502,-4.55150016212854,0.805900408105835,-5.69302504614737,-89.3881050291814
"11",-15.5262538655793,0.266406814157415,38.9464294855082,-19.9158320854658,-6.75846058542056,-2.11541652149728,-0.219310573872768,3.4685621328185,0.139066800939645,-0.291599798666096,-4.43205784944875,-2.17598894678197,1.75646474305335,-6.8355360700636,-85.6644812991129
"12",-9.28325880580566,0.155255553728415,21.3750223043165,-11.1508141770962,-5.88057688109171,-1.39785706547941,-0.0950182102280018,2.14334449987322,0.0677095564930898,2.29577971783905,-0.208741049793445,-0.989868729395836,0.347643841398797,-5.60969802694626,-88.248193730141
"13",-14.6469462079577,0.282301537028167,29.9446672797028,-14.9245018314682,-5.92605986236279,-1.0704719879033,-0.20964749810612,3.10832990450489,0.156959922664067,1.84160446172285,-2.19414365275105,0.561256612257266,3.03003922184912,-6.97042317763534,-89.2407305007192
