"","Intercept_survG","b_NK_survG","b_z_survG","b_zNK_survG","v_Intercept_survG.1","v_Intercept_survG.2","v_Intercept_survG.3","v_Intercept_survG.4","sigma_stream_G","Intercept_growG","b_NK_growG","b_z_growG","b_zNK_growG","v_Intercept_growG.1","v_Intercept_growG.2","v_Intercept_growG.3","v_Intercept_growG.4","sigma_growG","Intercept_recrG","b_NK_recrG","b_z_recrG","b_zNK_recrG","v_Intercept_recrG.1","v_Intercept_recrG.2","v_Intercept_recrG.3","v_Intercept_recrG.4","Intercept_survK","b_NG_survK","b_z_survK","b_zNG_survK","v_Intercept_survK.1","v_Intercept_survK.2","v_Intercept_survK.3","v_Intercept_survK.4","sigma_stream_K","Intercept_growK","b_NG_growK","b_z_growK","b_z2_growK","b_zNG_growK","v_Intercept_growK.1","v_Intercept_growK.2","v_Intercept_growK.3","v_Intercept_growK.4","sigma_growK","Intercept_recrK","b_NG_recrK","b_z_recrK","b_zNG_recrK","v_Intercept_recrK.1","v_Intercept_recrK.2","v_Intercept_recrK.3","v_Intercept_recrK.4","lp__"
"3447",0.434141,-0.0559832,0.0523677,0.111757,-0.16561,-0.0542346,0.768408,0.633865,0.806534,19.7399,0.358094,0.712657,0.0029222,0.280025,1.36641,-0.970684,-0.791921,0.998957,0.845661,0.402944,0.103142,0.0847225,-0.604314,-0.152998,-0.628568,-0.123584,1.52972,-0.810727,-0.00755006,0.0161379,-0.646568,-0.765642,-1.223,-0.421276,1.37753,22.3305,-0.156038,0.797543,0.00137901,-0.0191565,0.519806,2.18179,0.0296707,-1.17336,1.98218,-0.576638,-1.37799,0.0752993,0.00893761,-1.26715,-1.62558,-3.11124,0.618792,-538.512
"3448",0.228728,-0.207813,-0.0399879,0.07612,-0.0354519,0.0429214,0.760854,0.356809,0.696274,19.9044,0.508969,0.70588,-0.0209991,0.0685436,0.68987,-1.06588,-0.868075,1.0398,0.711923,0.218468,0.116868,0.0830287,-0.327137,-0.0854546,-0.372368,0.0959385,1.40021,-0.446378,0.0299142,-0.0149553,-2.20581,-1.32497,-1.47648,-0.7615,1.42229,22.951,-0.91116,0.811471,0.000960015,0.0143088,0.702935,1.61395,-0.611366,-1.19127,1.94195,-1.45133,-0.875402,0.0803832,-0.00833693,-0.223571,-0.284123,-2.76611,1.36132,-543.446
"3449",0.737079,0.505119,0.0297251,0.0624554,-0.962113,-0.439351,0.526681,-0.473915,1.14946,19.3117,0.639789,0.712539,0.0103139,0.250175,1.83216,-0.536642,-0.69658,1.10228,0.76653,0.361841,0.158958,0.0229626,-0.552294,-0.19516,-0.345117,-0.13824,2.1079,-1.47726,-0.0213947,0.0320681,-1.06513,-1.28159,-0.835319,-0.897619,1.90425,23.2229,-0.878568,0.71533,0.00190364,0.0237263,0.506989,3.11888,-0.279003,-1.86557,1.86547,0.505597,-1.5662,0.0664586,0.0074923,-2.04992,-2.29034,-3.86447,-0.132147,-550.996
"3450",0.215308,-0.280004,-0.104028,0.122241,0.0874669,0.155686,0.870714,0.0469534,1.31532,19.9364,0.547011,0.724882,-0.0654355,0.0485293,0.951832,-1.30578,-1.21202,1.04717,1.07001,0.226347,0.119893,0.0660765,-0.697422,-0.202562,-0.938942,-0.343848,2.27463,-0.511225,0.00962394,-0.000553703,-2.72513,-2.62769,-2.40465,-2.1818,1.45786,24.4893,-2.03525,0.7655,0.0013695,0.0579558,-0.440584,1.4925,-1.65035,-2.5186,2.15255,-1.49209,-1.38015,0.0861569,0.0058316,-0.943682,-1.08166,-3.00542,1.39185,-549.312
"3451",0.572849,-0.202784,0.0225016,-0.000644156,-0.120911,0.074124,0.886818,-0.0689424,0.974616,19.9585,0.565288,0.727977,-0.0265276,-0.245753,0.68294,-1.35138,-1.16256,1.0727,0.846238,0.443453,0.128751,0.0417075,-0.470491,-0.392869,-0.612663,-0.190747,1.90879,-0.364403,0.012297,-0.0136007,-1.1645,-1.36464,-2.49044,-1.3765,2.20367,23.4577,-0.888507,0.768273,0.00118615,0.0509847,0.483041,2.01759,-0.67033,-1.45479,1.85471,0.00354009,-1.35338,0.072376,0.00695987,-1.85138,-2.38439,-4.27373,-0.0784523,-543.907
"3452",1.72848,-0.361456,0.033575,0.0232905,-1.37771,-1.68246,-0.274692,-0.882766,0.838848,20.0043,0.529498,0.722126,-0.00772916,-0.345931,1.17188,-1.23583,-1.17064,1.00322,0.687632,0.534722,0.0987148,0.0799995,-0.427984,-0.00364944,-0.538735,-0.166438,1.93074,-0.326677,0.00399902,-0.00451683,-2.16254,-2.06967,-1.64828,-1.6177,2.79446,21.4085,-1.00758,0.883595,0.000254113,0.0148068,2.58284,3.59576,1.39678,0.313806,1.87271,-0.03489,-2.25297,0.0782975,0.0233072,-2.33744,-2.42055,-4.35691,0.185572,-546.026
"3453",0.384271,-0.198846,0.101339,-0.0369798,-0.0972304,0.133788,1.49959,-0.311405,0.691737,19.3645,0.430111,0.721389,-0.038075,0.570543,1.34553,-0.638064,-0.499753,1.02019,0.782434,0.54952,0.1316,0.0407841,-0.491776,-0.300151,-0.547197,-0.350052,1.61275,-1.00118,-0.00443657,0.00673629,-1.46406,-1.50259,-1.5222,-0.376311,1.50151,24.4799,-1.24925,0.774009,0.00144404,0.00380551,-0.686211,1.19087,-0.978715,-2.58287,2.0108,-1.26849,-2.02804,0.0691006,0.0258669,-0.562557,-0.550456,-2.96156,1.59878,-541.792
"3454",0.600301,0.0126746,0.00432724,0.0415576,-0.453702,-0.546394,0.724368,-0.449785,0.882684,19.1467,0.714592,0.720233,-0.056481,0.578328,1.46143,-0.66258,-0.587494,0.955089,0.956277,0.471238,0.158952,0.0188971,-0.875261,-0.45904,-0.956623,-0.379988,1.6499,-0.49619,0.0129663,0.00342453,-2.39689,-1.60518,-1.73518,-1.36552,1.90495,22.3932,-0.239904,0.845679,0.000857076,-0.00586708,0.657924,1.76352,-1.08492,-1.08465,1.91792,-1.5326,-1.31972,0.0837549,0.00347869,-0.922642,-0.881698,-2.84666,1.30749,-538.479
"3455",0.15738,-0.0195956,-0.0189289,0.069989,-0.00582364,0.0935214,1.55345,0.63182,1.55787,19.8683,0.636051,0.691642,0.00704766,-0.0269707,0.891267,-1.25633,-0.756509,0.959799,0.768905,0.261089,0.128596,0.0670243,-0.403941,-0.0733196,-0.659725,0.205571,1.59265,0.0160183,0.00832435,-0.00402951,-1.80779,-1.65102,-1.69229,-1.39833,1.69901,21.7597,-0.533975,0.822326,0.00113925,0.000967912,0.999645,3.11736,-0.219441,-0.496772,1.92281,-1.69022,-1.64778,0.0738105,-0.000709369,0.560914,-0.561236,-1.80671,1.90004,-547.642
"3456",0.969171,-0.29186,0.0062889,-0.00793762,-0.504536,-0.868631,0.560697,-0.606998,0.813358,19.2462,0.656363,0.703306,-0.0262789,0.537467,1.51427,-0.807245,-0.319087,0.975647,0.941659,0.205805,0.130406,0.0521623,-0.48097,-0.121001,-0.534512,-0.127874,1.42391,-0.617449,0.00620464,-0.00284374,-1.8912,-1.53505,-1.22936,-1.11715,1.39532,24.1433,-1.50469,0.789175,0.000952605,0.0162584,1.05784,1.86891,0.618605,-2.26796,1.93146,-1.28351,-1.98889,0.0728787,0.0227641,-0.600036,-0.560854,-3.04307,1.47928,-543.836
