"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-416.085697183168,23.9819075822449,10.4014354965368,2.39740130274647,832.171394366336,47.9638151644897
"M2",-0.175770808303331,1.27654246645396,-416.261467991471,24.0326126727797,11.0164694309937,2.45061744693261,832.522935982943,48.0652253455594
"M3",-0.9966750571341,0.274554200360666,-417.082372240302,24.1014471073891,11.2798464481883,2.65356799455689,834.164744480604,48.2028942147781
"M4",-1.21126461854927,0.950072562354256,-417.296961801718,24.2389842300028,11.8693194213288,2.85473600602306,834.593923603435,48.4779684600055
"M1",-1.25148357468946,1.20348245096983,-417.337180757858,24.1724657967906,12.0524010145764,2.78727592445402,834.674361515716,48.3449315935812
"M7",-2.87812250100123,3.73469001514943,-418.96381968417,23.8966023950767,8.50491173063732,2.24716824144,837.927639368339,47.7932047901534
"M5",-3.67440531274498,3.72169032718586,-419.760102495913,24.1375004273338,9.85597153402669,2.71370205654435,839.520204991826,48.2750008546676
