"","b_Intercept","b_z","b_NG","b_z.NG","sd_stream__Intercept","r_stream.1.Intercept.","r_stream.2.Intercept.","r_stream.3.Intercept.","r_stream.4.Intercept.","lprior","lp__"
"1",0.359346930184455,0.0210321128167366,-0.371926851979495,-0.0126183405988267,0.00413503416335088,0.00480518230089174,0.0021838251626245,-0.00171244572151481,0.00579923104154902,-3.1599794322538,-180.785516596291
"2",0.235628002322208,0.0161269344738751,-0.194397005971189,-0.00298094113799822,0.0126455122490281,-0.000188142243433236,-5.74932794706306e-05,-0.00746180597322142,0.0163804117060251,-3.15938381617578,-177.974143429703
"3",0.492035246931457,0.00728244929114329,-0.497347436883363,0.000886594293058708,0.123394198737571,0.169657493112202,0.0229010532587862,-0.0341208183183691,-0.112817845003385,-3.15596725214849,-177.819795981966
"4",0.362050285179227,0.00672614645867521,-0.315493081881718,0.00661469972363749,0.132295612803634,0.154989595830429,0.030533356814374,-0.045973921735927,-0.091863462337849,-3.15881885450173,-177.088986069235
"5",0.661899429089984,0.0107437046852888,-0.26028071683877,-0.0119248956008342,0.101556212839484,0.0412456292962168,-0.0590570781193178,0.00152176412007172,0.0439844111607583,-3.17888846682818,-176.547408686588
"6",0.419050373379523,0.0191834548338018,-0.694763375610632,-0.0102994177699375,0.203140012967788,-0.145527011230666,0.0168792694039629,0.161675395189693,0.146831537420699,-3.15364085505548,-177.032159371531
"7",0.110781074565735,0.0138869508475411,-0.13202428206321,-0.00178455023167963,0.0737853818629663,-0.00781942753092322,0.0156567053063998,0.145997714215592,-0.0300879960479065,-3.15100064214408,-178.015935625035
"8",0.455942583492112,0.00539124083154326,-0.744507306151316,0.0225050902995469,0.196009933091548,-0.146704625358683,-0.234772533128319,-0.225310109601162,0.226577880759823,-3.16023952215139,-178.353377706155
"9",0.500271622999347,0.015526998796872,-0.311396166447492,-0.00999600888288349,0.168604318856264,-0.0503953506263844,-0.234786402329316,0.0432610150402285,0.33592332570998,-3.17238237952628,-177.12495769537
"10",0.347667849829917,0.013152151101571,-0.317656147875605,-0.000331240411820787,0.170581198721062,0.029377341443817,-0.16375768577436,-0.0178134818018264,0.274660213564223,-3.16312739399591,-175.175202912293
"11",0.746161361401608,0.00787560192142684,-0.227154146377521,-0.0149038831708935,0.0039727870132163,-0.00208192283752909,0.00040056111115325,-0.0054690702708362,-0.00570387743477655,-3.17924639063019,-183.046894784904
"12",0.610534307429162,0.0127312293320059,-0.403040181038523,0.0105033076394853,0.00723151506925957,-0.000658425591051504,0.000668369308348798,-0.00729187603028531,-0.0125919735863859,-3.19995619757565,-182.90484020134
"13",0.65070795918492,0.00167415442320539,-0.438159150563329,-0.0121173814177202,0.0889081795924399,-0.0688661050208486,0.127618276474846,0.0226454365879169,-0.0177099876174735,-3.15057578205399,-181.441505116634
"14",0.22525150241915,0.0130167250638771,-0.200057897969219,-0.00113821015846258,0.0537967837713365,-0.0690339671716794,0.103769571440327,0.0334365521649201,0.0635330446623369,-3.15509382886949,-179.096754214257
"15",0.14572987469168,0.0208295478505292,0.189428907105764,-0.022783991559659,0.0603297405035942,-0.0729274839830373,0.0392469187472694,0.0697487532448785,0.0295911562685186,-3.16071604915621,-178.114714621173
"16",0.371827036214106,0.019126832023641,-0.352204161169637,0.00163791980775053,0.124615166092513,-0.0447679570495829,0.176851941261511,0.0942470306008737,0.0701957945007343,-3.17706543103527,-178.145100313922
"17",-0.41613011677897,0.0285556342973262,0.208737387202484,-0.0103059062318065,0.260482133932783,-0.106231364530832,-0.123617331652716,-0.192305376204533,0.254418142125816,-3.15166596611236,-178.564232764926
"18",-0.0493231209980975,0.0352563500702771,0.0419493922050401,-0.0263282425342595,0.0843259742522657,-0.0498347163450686,0.0923143814924185,0.0905505051979594,0.0554771771194099,-3.15848459714021,-178.266374460218
"19",-0.100474870242694,0.0231423389508726,0.652703957732554,-0.0209439885674123,0.0747563097410008,0.0251869310242759,0.0479664924213757,-0.0752683329122355,-0.121303309425954,-3.17099487146315,-180.919770155783
"20",-0.0781055163337561,0.0453195499789587,-0.0531139720782863,-0.0254894265280563,0.0494138020607444,-0.0410918808152562,0.0206264236960742,-0.137063729657473,0.0134818565282179,-3.17044740334633,-183.880335110698
"21",-0.0621956942790055,0.0163144879021926,0.408595971862646,-0.00111186673494784,0.326829137653031,-0.0477815215235153,-0.488031137040622,0.304207020052047,0.060374909211083,-3.17944256427338,-179.591201755026
"22",-0.243691724025697,0.047983827517504,0.063135896707922,-0.032697197740555,0.0798965228163007,-0.0377036835324065,-0.143169055645806,-0.0515129649663308,-0.0696514031753635,-3.1588436020506,-182.576643473058
"23",0.998070840620769,0.00578378414791235,-0.0632762313308483,-0.00908138552466451,1.05100818634267,-0.640076625115423,-0.961811751713478,-0.4904277988129,0.078787435167298,-3.35446830016774,-176.402448299751
"24",0.677061294103802,0.0284786014714821,-0.210190998756182,-0.00592549619547048,0.453307061243952,-0.853988827725636,-0.862854204439847,-0.833339961180303,-0.388780779442468,-3.28019283389332,-179.311618977952
"25",0.900547338664845,0.0217829629883563,-0.381958075572607,-0.0054855853228851,0.383343445543297,-0.673234016049475,-0.504904404424002,-0.631480499642137,-0.102949901283471,-3.27158874791601,-177.407365028156
"26",1.04720216105168,0.0203995840411145,-0.483252935253122,-0.00132709477966857,0.315127302672017,-0.533835685469634,-0.354605781089672,-0.464526875759038,-0.08526924477317,-3.28976634898392,-180.148799644083
"27",0.0190332537868457,0.0141174548739372,0.151420839901902,-0.00784634708822309,0.00265137092565654,0.000340545504283292,0.00166339714446986,0.000995396155336144,0.00122886052861259,-3.15133406053282,-180.206968482288
"28",0.295149065508127,0.0163872050943818,-0.203432911497928,-0.0135387078854354,0.0551745301602267,-0.0157437923492954,-0.00194347023487183,-0.0279753601547713,0.00955499924427532,-3.1547373887655,-176.46656348362
"29",0.128056813767762,0.0162206244781576,-0.280360150370363,-0.00506948541209898,0.221582659542621,0.155016650972999,0.0831554756521235,0.143478100830301,0.0569257146745774,-3.15218901887601,-175.361518065995
"30",0.236444039747049,0.0344768125916998,0.0815448042242478,-0.0170939504555643,0.394887793874786,-0.46754146777728,-0.615589889480469,-0.438359607646133,0.205440424585285,-3.2238163269577,-176.179550755583
