"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M5",0,0,197.354633037084,30.8431187307,20.3318062788227,10.0296626404024,-394.709266074168,61.6862374614001
"M2",-1.43161051516094,0.759210828764694,195.923022521923,31.0699563915481,21.77113096858,10.5647109284841,-391.846045043846,62.1399127830961
"M6",-1.62322508698491,1.39839514166857,195.731407950099,31.6174700351737,20.967934272968,10.5861074284953,-391.462815900198,63.2349400703475
"M7",-2.3295530997832,2.38754497056495,195.025079937301,32.8576637681366,21.6994083464372,11.6921535774764,-390.050159874602,65.7153275362733
"M1",-2.48341154407618,0.906228238798944,194.871221493008,30.6772564116687,22.217354252718,10.4811211527639,-389.742442986016,61.3545128233374
"M4",-2.8422777454933,1.08314584122597,194.512355291591,31.7721519265539,22.908310054667,11.5207981437009,-389.024710583182,63.5443038531079
"M3",-2.94294997340825,1.53852837649809,194.411683063676,31.7389404520504,22.2812897837712,11.2032565769876,-388.823366127352,63.4778809041009
